[slumbot] Building 20-bucket preflop abstraction...
[slumbot] Abstraction built in 158.50s
[slumbot] Training NL MCCFR for 500000 iterations (20 buckets)...
  [MCCFR-NL] iter 10000/500000  avg_util=-29.3140  infosets=(367647, 593992)
  [MCCFR-NL] iter 20000/500000  avg_util=-58.3064  infosets=(616647, 970204)
  [MCCFR-NL] iter 30000/500000  avg_util=-44.6849  infosets=(809596, 1249367)
  [MCCFR-NL] iter 40000/500000  avg_util=-55.3564  infosets=(968948, 1477863)
  [MCCFR-NL] iter 50000/500000  avg_util=-33.4332  infosets=(1104637, 1667546)
  [MCCFR-NL] iter 60000/500000  avg_util=-25.4490  infosets=(1226394, 1835318)
  [MCCFR-NL] iter 70000/500000  avg_util=-27.0263  infosets=(1344748, 2001729)
  [MCCFR-NL] iter 80000/500000  avg_util=-28.4922  infosets=(1456035, 2152335)
  [MCCFR-NL] iter 90000/500000  avg_util=-32.6501  infosets=(1557622, 2291922)
  [MCCFR-NL] iter 100000/500000  avg_util=-31.5827  infosets=(1651239, 2423673)
  [MCCFR-NL] iter 110000/500000  avg_util=-28.0328  infosets=(1743701, 2546721)
  [MCCFR-NL] iter 120000/500000  avg_util=-21.0323  infosets=(1831210, 2660900)
  [MCCFR-NL] iter 130000/500000  avg_util=-21.6147  infosets=(1916161, 2775501)
  [MCCFR-NL] iter 140000/500000  avg_util=-22.8347  infosets=(1999834, 2886394)
  [MCCFR-NL] iter 150000/500000  avg_util=-16.4174  infosets=(2076367, 2988845)
  [MCCFR-NL] iter 160000/500000  avg_util=-17.8784  infosets=(2150525, 3091481)
  [MCCFR-NL] iter 170000/500000  avg_util=-14.5220  infosets=(2222520, 3184869)
  [MCCFR-NL] iter 180000/500000  avg_util=-11.8293  infosets=(2293855, 3281724)
  [MCCFR-NL] iter 190000/500000  avg_util=-9.7840  infosets=(2363021, 3375792)
  [MCCFR-NL] iter 200000/500000  avg_util=-9.0885  infosets=(2427916, 3461753)
  [MCCFR-NL] iter 210000/500000  avg_util=-8.1472  infosets=(2495033, 3551034)
  [MCCFR-NL] iter 220000/500000  avg_util=-8.0439  infosets=(2556635, 3633560)
  [MCCFR-NL] iter 230000/500000  avg_util=-7.9846  infosets=(2617396, 3712454)
  [MCCFR-NL] iter 240000/500000  avg_util=-8.9094  infosets=(2675929, 3790209)
  [MCCFR-NL] iter 250000/500000  avg_util=-9.5870  infosets=(2738311, 3873698)
  [MCCFR-NL] iter 260000/500000  avg_util=-10.4148  infosets=(2795957, 3948141)
  [MCCFR-NL] iter 270000/500000  avg_util=-10.8429  infosets=(2848086, 4016852)
  [MCCFR-NL] iter 280000/500000  avg_util=-11.8664  infosets=(2898290, 4081119)
  [MCCFR-NL] iter 290000/500000  avg_util=-9.9875  infosets=(2946801, 4141862)
  [MCCFR-NL] iter 300000/500000  avg_util=-10.1107  infosets=(2993984, 4203433)
  [MCCFR-NL] iter 310000/500000  avg_util=-10.2170  infosets=(3041039, 4263054)
  [MCCFR-NL] iter 320000/500000  avg_util=-8.3365  infosets=(3085461, 4318584)
  [MCCFR-NL] iter 330000/500000  avg_util=-9.6211  infosets=(3131161, 4376596)
  [MCCFR-NL] iter 340000/500000  avg_util=-10.3778  infosets=(3173405, 4429736)
  [MCCFR-NL] iter 350000/500000  avg_util=-9.5851  infosets=(3213830, 4481443)
  [MCCFR-NL] iter 360000/500000  avg_util=-9.1240  infosets=(3254638, 4534720)
  [MCCFR-NL] iter 370000/500000  avg_util=-8.6207  infosets=(3297649, 4586049)
  [MCCFR-NL] iter 380000/500000  avg_util=-7.7045  infosets=(3339166, 4637628)
  [MCCFR-NL] iter 390000/500000  avg_util=-8.2580  infosets=(3376533, 4687694)
  [MCCFR-NL] iter 400000/500000  avg_util=-7.2697  infosets=(3416051, 4737527)
  [MCCFR-NL] iter 410000/500000  avg_util=-6.3697  infosets=(3454589, 4788774)
  [MCCFR-NL] iter 420000/500000  avg_util=-5.9060  infosets=(3492487, 4838016)
  [MCCFR-NL] iter 430000/500000  avg_util=-5.5290  infosets=(3532394, 4887767)
  [MCCFR-NL] iter 440000/500000  avg_util=-6.3172  infosets=(3572027, 4938438)
  [MCCFR-NL] iter 450000/500000  avg_util=-7.0202  infosets=(3610247, 4986650)
  [MCCFR-NL] iter 460000/500000  avg_util=-6.7782  infosets=(3650440, 5038472)
  [MCCFR-NL] iter 470000/500000  avg_util=-6.5150  infosets=(3687143, 5084043)
  [MCCFR-NL] iter 480000/500000  avg_util=-6.5926  infosets=(3723316, 5129615)
  [MCCFR-NL] iter 490000/500000  avg_util=-6.0031  infosets=(3761309, 5177490)
  [MCCFR-NL] iter 500000/500000  avg_util=-6.4959  infosets=(3796911, 5221002)
[slumbot] Training complete in 290.79s. P0: 3796911, P1: 5221002 info sets
[slumbot] Strategy saved to strategy_nl_20b_500k.dat
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 10/1000: won=-50 total=325 (325.00 mbb/hand)
[slumbot] Hand 20/1000: won=-50 total=475 (237.50 mbb/hand)
[slumbot] Hand 30/1000: won=-50 total=-32700 (-10900.00 mbb/hand)
[slumbot] Hand 40/1000: won=100 total=-33300 (-8325.00 mbb/hand)
[slumbot] Hand 50/1000: won=-50 total=-33150 (-6630.00 mbb/hand)
[slumbot] Hand 60/1000: won=-50 total=-33900 (-5650.00 mbb/hand)
[slumbot] Hand 70/1000: won=-50 total=-33725 (-4817.86 mbb/hand)
[slumbot] Hand 80/1000: won=-50 total=-54025 (-6753.12 mbb/hand)
[slumbot] Hand 90/1000: won=-50 total=-50600 (-5622.22 mbb/hand)
[slumbot] Hand 100/1000: won=-50 total=-50900 (-5090.00 mbb/hand)
[slumbot] Hand 110/1000: won=100 total=-50700 (-4609.09 mbb/hand)
[slumbot] Hand 120/1000: won=-20000 total=-90400 (-7533.33 mbb/hand)
[slumbot] Hand 130/1000: won=-50 total=-109150 (-8396.15 mbb/hand)
[slumbot] Hand 140/1000: won=900 total=-103700 (-7407.14 mbb/hand)
[slumbot] Hand 150/1000: won=100 total=-102350 (-6823.33 mbb/hand)
[slumbot] Hand 160/1000: won=-50 total=-101650 (-6353.12 mbb/hand)
[slumbot] Hand 170/1000: won=-50 total=-101000 (-5941.18 mbb/hand)
[slumbot] Hand 180/1000: won=-50 total=-101450 (-5636.11 mbb/hand)
[slumbot] Hand 190/1000: won=-50 total=-109475 (-5761.84 mbb/hand)
[slumbot] Hand 200/1000: won=-50 total=-127575 (-6378.75 mbb/hand)
[slumbot] Hand 210/1000: won=-50 total=-128225 (-6105.95 mbb/hand)
[slumbot] Hand 220/1000: won=-50 total=-128675 (-5848.86 mbb/hand)
[slumbot] Hand 230/1000: won=100 total=-130175 (-5659.78 mbb/hand)
[slumbot] Hand 240/1000: won=200 total=-128325 (-5346.88 mbb/hand)
[slumbot] Hand 250/1000: won=1375 total=-126700 (-5068.00 mbb/hand)
[slumbot] Hand 260/1000: won=100 total=-107300 (-4126.92 mbb/hand)
[slumbot] Hand 270/1000: won=-50 total=-107000 (-3962.96 mbb/hand)
[slumbot] Hand 280/1000: won=100 total=-106800 (-3814.29 mbb/hand)
[slumbot] Hand 290/1000: won=-50 total=-106150 (-3660.34 mbb/hand)
[slumbot] Hand 300/1000: won=-50 total=-106450 (-3548.33 mbb/hand)
[slumbot] Hand 310/1000: won=100 total=-106000 (-3419.35 mbb/hand)
[slumbot] Hand 320/1000: won=-50 total=-126300 (-3946.88 mbb/hand)
[slumbot] Hand 330/1000: won=100 total=-124350 (-3768.18 mbb/hand)
[slumbot] Hand 340/1000: won=-50 total=-124700 (-3667.65 mbb/hand)
[slumbot] Hand 350/1000: won=-50 total=-144550 (-4130.00 mbb/hand)
[slumbot] Hand 360/1000: won=-50 total=-144750 (-4020.83 mbb/hand)
[slumbot] Hand 370/1000: won=-50 total=-143800 (-3886.49 mbb/hand)
[slumbot] Hand 380/1000: won=-20000 total=-164200 (-4321.05 mbb/hand)
[slumbot] Hand 390/1000: won=-50 total=-163350 (-4188.46 mbb/hand)
[slumbot] Hand 400/1000: won=600 total=-163700 (-4092.50 mbb/hand)
[slumbot] Hand 410/1000: won=-50 total=-164000 (-4000.00 mbb/hand)
[slumbot] Hand 420/1000: won=-50 total=-163250 (-3886.90 mbb/hand)
[slumbot] Hand 430/1000: won=100 total=-160300 (-3727.91 mbb/hand)
[slumbot] Hand 440/1000: won=-100 total=-160050 (-3637.50 mbb/hand)
[slumbot] Hand 450/1000: won=100 total=-159750 (-3550.00 mbb/hand)
[slumbot] Hand 460/1000: won=-50 total=-158400 (-3443.48 mbb/hand)
[slumbot] Hand 470/1000: won=300 total=-157100 (-3342.55 mbb/hand)
[slumbot] Hand 480/1000: won=-50 total=-157550 (-3282.29 mbb/hand)
[slumbot] Hand 490/1000: won=100 total=-157150 (-3207.14 mbb/hand)
[slumbot] Hand 500/1000: won=-50 total=-145575 (-2911.50 mbb/hand)
[slumbot] Hand 510/1000: won=100 total=-145875 (-2860.29 mbb/hand)
[slumbot] Hand 520/1000: won=-50 total=-145575 (-2799.52 mbb/hand)
[slumbot] Hand 530/1000: won=-50 total=-144675 (-2729.72 mbb/hand)
[slumbot] Hand 540/1000: won=-50 total=-143300 (-2653.70 mbb/hand)
[slumbot] Hand 550/1000: won=-50 total=-122875 (-2234.09 mbb/hand)
[slumbot] Hand 560/1000: won=-50 total=-123075 (-2197.77 mbb/hand)
[slumbot] Hand 570/1000: won=-50 total=-140375 (-2462.72 mbb/hand)
[slumbot] Hand 580/1000: won=-50 total=-139900 (-2412.07 mbb/hand)
[slumbot] Hand 590/1000: won=-50 total=-139600 (-2366.10 mbb/hand)
[slumbot] Hand 600/1000: won=-50 total=-142500 (-2375.00 mbb/hand)
[slumbot] Hand 610/1000: won=-50 total=-144250 (-2364.75 mbb/hand)
[slumbot] Hand 620/1000: won=-50 total=-144350 (-2328.23 mbb/hand)
[slumbot] Hand 630/1000: won=-50 total=-144950 (-2300.79 mbb/hand)
[slumbot] Hand 640/1000: won=100 total=-145600 (-2275.00 mbb/hand)
[slumbot] Hand 650/1000: won=-50 total=-148250 (-2280.77 mbb/hand)
[slumbot] Hand 660/1000: won=300 total=-148350 (-2247.73 mbb/hand)
[slumbot] Hand 670/1000: won=-50 total=-147850 (-2206.72 mbb/hand)
[slumbot] Hand 680/1000: won=-50 total=-145850 (-2144.85 mbb/hand)
[slumbot] Hand 690/1000: won=-50 total=-145100 (-2102.90 mbb/hand)
[slumbot] Hand 700/1000: won=-50 total=-165000 (-2357.14 mbb/hand)
[slumbot] Hand 710/1000: won=-50 total=-163500 (-2302.82 mbb/hand)
[slumbot] Hand 720/1000: won=-50 total=-162250 (-2253.47 mbb/hand)
[slumbot] Hand 730/1000: won=-50 total=-160800 (-2202.74 mbb/hand)
[slumbot] Hand 740/1000: won=100 total=-159900 (-2160.81 mbb/hand)
[slumbot] Hand 750/1000: won=100 total=-159900 (-2132.00 mbb/hand)
[slumbot] Hand 760/1000: won=100 total=-158975 (-2091.78 mbb/hand)
[slumbot] Hand 770/1000: won=-50 total=-158625 (-2060.06 mbb/hand)
[slumbot] Hand 780/1000: won=-50 total=-158575 (-2033.01 mbb/hand)
[slumbot] Hand 790/1000: won=-50 total=-158275 (-2003.48 mbb/hand)
[slumbot] Hand 800/1000: won=-50 total=-156475 (-1955.94 mbb/hand)
[slumbot] Hand 810/1000: won=-50 total=-154225 (-1904.01 mbb/hand)
[slumbot] Hand 820/1000: won=400 total=-154175 (-1880.18 mbb/hand)
[slumbot] Hand 830/1000: won=-50 total=-145575 (-1753.92 mbb/hand)
[slumbot] Hand 840/1000: won=-50 total=-139225 (-1657.44 mbb/hand)
[slumbot] Hand 850/1000: won=-50 total=-139825 (-1645.00 mbb/hand)
[slumbot] Hand 860/1000: won=-50 total=-139575 (-1622.97 mbb/hand)
[slumbot] Hand 870/1000: won=-50 total=-137425 (-1579.60 mbb/hand)
[slumbot] Hand 880/1000: won=-50 total=-137625 (-1563.92 mbb/hand)
[slumbot] Hand 890/1000: won=275 total=-157450 (-1769.10 mbb/hand)
[slumbot] Hand 900/1000: won=-50 total=-156675 (-1740.83 mbb/hand)
[slumbot] Hand 910/1000: won=100 total=-176225 (-1936.54 mbb/hand)
[slumbot] Hand 920/1000: won=100 total=-172125 (-1870.92 mbb/hand)
[slumbot] Hand 930/1000: won=-3300 total=-175525 (-1887.37 mbb/hand)
[slumbot] Hand 940/1000: won=100 total=-174475 (-1856.12 mbb/hand)
[slumbot] Hand 950/1000: won=100 total=-172675 (-1817.63 mbb/hand)
[slumbot] Hand 960/1000: won=-50 total=-172375 (-1795.57 mbb/hand)
[slumbot] Hand 970/1000: won=100 total=-173375 (-1787.37 mbb/hand)
[slumbot] Hand 980/1000: won=-50 total=-226875 (-2315.05 mbb/hand)
[slumbot] Hand 990/1000: won=-50 total=-227075 (-2293.69 mbb/hand)
[slumbot] Hand 1000/1000: won=-50 total=-247775 (-2477.75 mbb/hand)

================================================================
  Slumbot Session Results (LIVE (slumbot.com))
================================================================

  Hands played:    1000
  Total winnings:  -247775 chips
  Average:         -2477.75 mbb/hand
  Average:         -2.4777 bb/hand
  Time:            92.4 seconds (10.82 hands/sec)

  Game: HUNL 50/100 blinds, 20000 stack (200bb)
  Strategy: NL MCCFR, P0=3796911 P1=5221002 info sets
================================================================
