[slumbot] Building 169-bucket preflop abstraction...
[slumbot] Abstraction built in 160.14s
[slumbot] Training NL MCCFR for 1 iterations (169 buckets)...
  [Resume] Loading checkpoint from checkpoint_169b_25M.dat ...
  [Resume] Loaded P0=100275630 P1=125066720 info sets. Continuing training.
[slumbot] Training complete in 96.39s. P0: 100275630, P1: 125066720 info sets
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 10/1000: won=275 total=-19775 (-19775.00 mbb/hand)
[slumbot] Hand 20/1000: won=-50 total=-21175 (-10587.50 mbb/hand)
[slumbot] Hand 30/1000: won=-50 total=-20625 (-6875.00 mbb/hand)
[slumbot] Hand 40/1000: won=100 total=-20475 (-5118.75 mbb/hand)
[slumbot] Hand 50/1000: won=-50 total=-20775 (-4155.00 mbb/hand)
[slumbot] Hand 60/1000: won=-50 total=-20275 (-3379.17 mbb/hand)
[slumbot] Hand 70/1000: won=-50 total=-19475 (-2782.14 mbb/hand)
[slumbot] Hand 80/1000: won=300 total=-13625 (-1703.12 mbb/hand)
[slumbot] Hand 90/1000: won=-50 total=-13425 (-1491.67 mbb/hand)
[slumbot] Hand 100/1000: won=-50 total=-13425 (-1342.50 mbb/hand)
[slumbot] Hand 110/1000: won=-50 total=-33525 (-3047.73 mbb/hand)
[slumbot] Hand 120/1000: won=-50 total=-32175 (-2681.25 mbb/hand)
[slumbot] Hand 130/1000: won=-50 total=-32275 (-2482.69 mbb/hand)
[slumbot] Hand 140/1000: won=-50 total=-35099 (-2507.07 mbb/hand)
[slumbot] Hand 150/1000: won=-900 total=-35999 (-2399.93 mbb/hand)
[slumbot] Hand 160/1000: won=-50 total=-15549 (-971.81 mbb/hand)
[slumbot] Hand 170/1000: won=-50 total=-15849 (-932.29 mbb/hand)
[slumbot] Hand 180/1000: won=1650 total=-12449 (-691.61 mbb/hand)
[slumbot] Hand 190/1000: won=-50 total=-12649 (-665.74 mbb/hand)
[slumbot] Hand 200/1000: won=400 total=-12649 (-632.45 mbb/hand)
[slumbot] Hand 210/1000: won=-50 total=-7699 (-366.62 mbb/hand)
[slumbot] Hand 220/1000: won=-50 total=-8599 (-390.86 mbb/hand)
[slumbot] Hand 230/1000: won=-50 total=-9349 (-406.48 mbb/hand)
[slumbot] Hand 240/1000: won=-50 total=-9049 (-377.04 mbb/hand)
[slumbot] Hand 250/1000: won=-50 total=-9299 (-371.96 mbb/hand)
[slumbot] Hand 260/1000: won=-50 total=-9749 (-374.96 mbb/hand)
[slumbot] Hand 270/1000: won=-50 total=-8049 (-298.11 mbb/hand)
[slumbot] Hand 280/1000: won=100 total=-8049 (-287.46 mbb/hand)
[slumbot] Hand 290/1000: won=-50 total=-8549 (-294.79 mbb/hand)
[slumbot] Hand 300/1000: won=-50 total=-8399 (-279.97 mbb/hand)
[slumbot] Hand 310/1000: won=-50 total=-6799 (-219.32 mbb/hand)
[slumbot] Hand 320/1000: won=100 total=-7099 (-221.84 mbb/hand)
