[slumbot] Building 169-bucket preflop abstraction...
[slumbot] Abstraction built in 278.68s
[slumbot] Training NL MCCFR for 1 iterations (169 buckets)...
  [Resume] Loading checkpoint from checkpoint_60M_total.dat ...
  [Resume] Loaded P0=179615196 P1=217724256 info sets. Continuing training.
[slumbot] Training complete in 269.00s. P0: 179615196, P1: 217724256 info sets
[slumbot] Starting session: LIVE (slumbot.com), 25000 hands
[slumbot] Hand 10/25000: won=300 total=450 (450.00 mbb/hand)
[slumbot] Hand 20/25000: won=-50 total=600 (300.00 mbb/hand)
[slumbot] Hand 30/25000: won=2212 total=2862 (954.00 mbb/hand)
[slumbot] Hand 40/25000: won=275 total=2887 (721.75 mbb/hand)
[slumbot] Hand 50/25000: won=-100 total=3962 (792.40 mbb/hand)
[slumbot] Hand 60/25000: won=-50 total=-12638 (-2106.33 mbb/hand)
[slumbot] Hand 70/25000: won=-50 total=-12088 (-1726.86 mbb/hand)
[slumbot] Hand 80/25000: won=275 total=-10563 (-1320.37 mbb/hand)
[slumbot] Hand 90/25000: won=-50 total=-10863 (-1207.00 mbb/hand)
[slumbot] Hand 100/25000: won=-50 total=-11313 (-1131.30 mbb/hand)
[slumbot] Hand 110/25000: won=-50 total=-11663 (-1060.27 mbb/hand)
[slumbot] Hand 120/25000: won=-50 total=-12263 (-1021.92 mbb/hand)
[slumbot] Hand 130/25000: won=5000 total=-6563 (-504.85 mbb/hand)
[slumbot] Hand 140/25000: won=-50 total=-26013 (-1858.07 mbb/hand)
[slumbot] Hand 150/25000: won=-100 total=-25113 (-1674.20 mbb/hand)
[slumbot] Hand 160/25000: won=100 total=-24763 (-1547.69 mbb/hand)
[slumbot] Hand 170/25000: won=-50 total=-24563 (-1444.88 mbb/hand)
[slumbot] Hand 180/25000: won=-50 total=-27763 (-1542.39 mbb/hand)
[slumbot] Hand 190/25000: won=-50 total=-26613 (-1400.68 mbb/hand)
[slumbot] Hand 200/25000: won=-50 total=-26338 (-1316.90 mbb/hand)
[slumbot] Hand 210/25000: won=100 total=-25113 (-1195.86 mbb/hand)
[slumbot] Hand 220/25000: won=100 total=-24588 (-1117.64 mbb/hand)
[slumbot] Hand 230/25000: won=500 total=-24638 (-1071.22 mbb/hand)
[slumbot] Hand 240/25000: won=100 total=-25913 (-1079.71 mbb/hand)
[slumbot] Hand 250/25000: won=100 total=-27688 (-1107.52 mbb/hand)
[slumbot] Hand 260/25000: won=-50 total=-24738 (-951.46 mbb/hand)
[slumbot] Hand 270/25000: won=-50 total=-25038 (-927.33 mbb/hand)
[slumbot] Hand 280/25000: won=-50 total=-22513 (-804.04 mbb/hand)
[slumbot] Hand 290/25000: won=-100 total=-22913 (-790.10 mbb/hand)
[slumbot] Hand 300/25000: won=-50 total=-23263 (-775.43 mbb/hand)
