[slumbot] Building 20-bucket preflop abstraction...
[slumbot] Abstraction built in 161.61s
[slumbot] WARNING: No strategy specified. Using uniform random.
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 10/1000: won=100 total=2775 (2775.00 mbb/hand)
[slumbot] Hand 20/1000: won=100 total=5675 (2837.50 mbb/hand)
[slumbot] Hand 30/1000: won=100 total=8475 (2825.00 mbb/hand)
[slumbot] Hand 40/1000: won=100 total=15275 (3818.75 mbb/hand)
[slumbot] Hand 50/1000: won=300 total=-12125 (-2425.00 mbb/hand)
[slumbot] Hand 60/1000: won=-50 total=-32575 (-5429.17 mbb/hand)
[slumbot] Hand 70/1000: won=400 total=-10575 (-1510.71 mbb/hand)
[slumbot] Hand 80/1000: won=1500 total=-7000 (-875.00 mbb/hand)
[slumbot] Hand 90/1000: won=100 total=-14100 (-1566.67 mbb/hand)
[slumbot] Hand 100/1000: won=100 total=-13000 (-1300.00 mbb/hand)
[slumbot] Hand 110/1000: won=100 total=-11500 (-1045.45 mbb/hand)
[slumbot] Hand 120/1000: won=-4950 total=-11925 (-993.75 mbb/hand)
[slumbot] Hand 130/1000: won=-50 total=-8475 (-651.92 mbb/hand)
[slumbot] Hand 140/1000: won=-50 total=-5600 (-400.00 mbb/hand)
[slumbot] Hand 150/1000: won=750 total=-3750 (-250.00 mbb/hand)
[slumbot] Hand 160/1000: won=200 total=-3075 (-192.19 mbb/hand)
[slumbot] Hand 170/1000: won=-20000 total=-21625 (-1272.06 mbb/hand)
[slumbot] Hand 180/1000: won=900 total=-19025 (-1056.94 mbb/hand)
[slumbot] Hand 190/1000: won=-50 total=-17825 (-938.16 mbb/hand)
[slumbot] Hand 200/1000: won=-50 total=-34900 (-1745.00 mbb/hand)
[slumbot] Hand 210/1000: won=-20000 total=-54250 (-2583.33 mbb/hand)
[slumbot] Hand 220/1000: won=-50 total=-92775 (-4217.05 mbb/hand)
[slumbot] Hand 230/1000: won=275 total=-91400 (-3973.91 mbb/hand)
[slumbot] Hand 240/1000: won=100 total=-89675 (-3736.46 mbb/hand)
[slumbot] Hand 250/1000: won=100 total=-90125 (-3605.00 mbb/hand)
[slumbot] Hand 260/1000: won=275 total=-108400 (-4169.23 mbb/hand)
[slumbot] Hand 270/1000: won=100 total=-121650 (-4505.56 mbb/hand)
[slumbot] Hand 280/1000: won=100 total=-120400 (-4300.00 mbb/hand)
[slumbot] Hand 290/1000: won=100 total=-116100 (-4003.45 mbb/hand)
[slumbot] Hand 300/1000: won=100 total=-135000 (-4500.00 mbb/hand)
[slumbot] Hand 310/1000: won=100 total=-130050 (-4195.16 mbb/hand)
[slumbot] Hand 320/1000: won=100 total=-128975 (-4030.47 mbb/hand)
[slumbot] Hand 330/1000: won=100 total=-122175 (-3702.27 mbb/hand)
[slumbot] Hand 340/1000: won=100 total=-120375 (-3540.44 mbb/hand)
[slumbot] Hand 350/1000: won=100 total=-119550 (-3415.71 mbb/hand)
[slumbot] Hand 360/1000: won=100 total=-114950 (-3193.06 mbb/hand)
[slumbot] Hand 370/1000: won=300 total=-108450 (-2931.08 mbb/hand)
[slumbot] Hand 380/1000: won=100 total=-115175 (-3030.92 mbb/hand)
[slumbot] Hand 390/1000: won=100 total=-110025 (-2821.15 mbb/hand)
[slumbot] Hand 400/1000: won=100 total=-106450 (-2661.25 mbb/hand)
[slumbot] Hand 410/1000: won=-50 total=-165000 (-4024.39 mbb/hand)
[slumbot] Hand 420/1000: won=300 total=-162750 (-3875.00 mbb/hand)
[slumbot] Hand 430/1000: won=100 total=-162125 (-3770.35 mbb/hand)
[slumbot] Hand 440/1000: won=100 total=-161875 (-3678.98 mbb/hand)
[slumbot] Hand 450/1000: won=100 total=-163000 (-3622.22 mbb/hand)
[slumbot] Hand 460/1000: won=1500 total=-167050 (-3631.52 mbb/hand)
[slumbot] Hand 470/1000: won=400 total=-162900 (-3465.96 mbb/hand)
[slumbot] Hand 480/1000: won=100 total=-161950 (-3373.96 mbb/hand)
