[slumbot] Building 20-bucket preflop abstraction...
[slumbot] Abstraction built in 162.41s
[slumbot] Training NL MCCFR for 1 iterations (20 buckets)...
  [Resume] Loading checkpoint from checkpoint_20b_10M.dat ...
  [Resume] Loaded P0=17684974 P1=22350694 info sets. Continuing training.
[slumbot] Training complete in 18.09s. P0: 17684974, P1: 22350701 info sets
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 10/1000: won=-400 total=-350 (-350.00 mbb/hand)
[slumbot] Hand 20/1000: won=300 total=350 (175.00 mbb/hand)
[slumbot] Hand 30/1000: won=-100 total=275 (91.67 mbb/hand)
[slumbot] Hand 40/1000: won=800 total=22475 (5618.75 mbb/hand)
[slumbot] Hand 50/1000: won=275 total=25300 (5060.00 mbb/hand)
[slumbot] Hand 60/1000: won=300 total=25275 (4212.50 mbb/hand)
[slumbot] Hand 70/1000: won=-50 total=24875 (3553.57 mbb/hand)
[slumbot] Hand 80/1000: won=-50 total=25275 (3159.38 mbb/hand)
[slumbot] Hand 90/1000: won=-20000 total=6625 (736.11 mbb/hand)
[slumbot] Hand 100/1000: won=-550 total=6175 (617.50 mbb/hand)
[slumbot] Hand 110/1000: won=275 total=7000 (636.36 mbb/hand)
[slumbot] Hand 120/1000: won=-50 total=7350 (612.50 mbb/hand)
[slumbot] Hand 130/1000: won=100 total=12550 (965.38 mbb/hand)
[slumbot] Hand 140/1000: won=-50 total=12350 (882.14 mbb/hand)
[slumbot] Hand 150/1000: won=-275 total=13325 (888.33 mbb/hand)
[slumbot] Hand 160/1000: won=-50 total=13675 (854.69 mbb/hand)
[slumbot] Hand 170/1000: won=-100 total=15525 (913.24 mbb/hand)
[slumbot] Hand 180/1000: won=-100 total=15000 (833.33 mbb/hand)
[slumbot] Hand 190/1000: won=100 total=-7550 (-397.37 mbb/hand)
[slumbot] Hand 200/1000: won=100 total=-6375 (-318.75 mbb/hand)
[slumbot] Hand 210/1000: won=-50 total=-11700 (-557.14 mbb/hand)
[slumbot] Hand 220/1000: won=300 total=-9800 (-445.45 mbb/hand)
[slumbot] Hand 230/1000: won=275 total=-29450 (-1280.43 mbb/hand)
[slumbot] Hand 240/1000: won=-50 total=-28200 (-1175.00 mbb/hand)
[slumbot] Hand 250/1000: won=-50 total=-26800 (-1072.00 mbb/hand)
[slumbot] Hand 260/1000: won=100 total=-25650 (-986.54 mbb/hand)
[slumbot] Hand 270/1000: won=100 total=-25500 (-944.44 mbb/hand)
[slumbot] Hand 280/1000: won=100 total=-28075 (-1002.68 mbb/hand)
[slumbot] Hand 290/1000: won=100 total=-28575 (-985.34 mbb/hand)
[slumbot] Hand 300/1000: won=-50 total=-28225 (-940.83 mbb/hand)
[slumbot] Hand 310/1000: won=275 total=-37300 (-1203.23 mbb/hand)
[slumbot] Hand 320/1000: won=-50 total=-56750 (-1773.44 mbb/hand)
[slumbot] Hand 330/1000: won=-50 total=-55625 (-1685.61 mbb/hand)
[slumbot] Hand 340/1000: won=100 total=-75025 (-2206.62 mbb/hand)
[slumbot] Hand 350/1000: won=1200 total=-72225 (-2063.57 mbb/hand)
[slumbot] Hand 360/1000: won=-20000 total=-112225 (-3117.36 mbb/hand)
[slumbot] Hand 370/1000: won=2500 total=-109475 (-2958.78 mbb/hand)
[slumbot] Hand 380/1000: won=-100 total=-109025 (-2869.08 mbb/hand)
[slumbot] Hand 390/1000: won=100 total=-109075 (-2796.79 mbb/hand)
