[slumbot] Building 50-bucket preflop abstraction...
[slumbot] Abstraction built in 160.06s
[slumbot] Training NL MCCFR for 1 iterations (50 buckets)...
  [Resume] Loading checkpoint from checkpoint_50b_15M.dat ...
  [Resume] Loaded P0=38949168 P1=48998385 info sets. Continuing training.
[slumbot] Training complete in 37.09s. P0: 38949168, P1: 48998385 info sets
[slumbot] Starting session: LIVE (slumbot.com), 1000 hands
[slumbot] Hand 10/1000: won=100 total=150 (150.00 mbb/hand)
[slumbot] Hand 20/1000: won=-100 total=-1650 (-825.00 mbb/hand)
[slumbot] Hand 30/1000: won=-50 total=-4050 (-1350.00 mbb/hand)
[slumbot] Hand 40/1000: won=600 total=-2350 (-587.50 mbb/hand)
[slumbot] Hand 50/1000: won=-50 total=-2200 (-440.00 mbb/hand)
[slumbot] Hand 60/1000: won=-50 total=-2150 (-358.33 mbb/hand)
[slumbot] Hand 70/1000: won=-50 total=-2050 (-292.86 mbb/hand)
[slumbot] Hand 80/1000: won=-100 total=-2400 (-300.00 mbb/hand)
[slumbot] Hand 90/1000: won=300 total=4100 (455.56 mbb/hand)
[slumbot] Hand 100/1000: won=-100 total=4750 (475.00 mbb/hand)
[slumbot] Hand 110/1000: won=-50 total=14600 (1327.27 mbb/hand)
[slumbot] Hand 120/1000: won=-50 total=14450 (1204.17 mbb/hand)
[slumbot] Hand 130/1000: won=-100 total=16275 (1251.92 mbb/hand)
[slumbot] Hand 140/1000: won=100 total=16875 (1205.36 mbb/hand)
[slumbot] Hand 150/1000: won=-50 total=18525 (1235.00 mbb/hand)
[slumbot] Hand 160/1000: won=-100 total=18475 (1154.69 mbb/hand)
[slumbot] Hand 170/1000: won=1500 total=19975 (1175.00 mbb/hand)
[slumbot] Hand 180/1000: won=-275 total=20275 (1126.39 mbb/hand)
[slumbot] Hand 190/1000: won=-50 total=-125 (-6.58 mbb/hand)
[slumbot] Hand 200/1000: won=750 total=550 (27.50 mbb/hand)
[slumbot] Hand 210/1000: won=-50 total=2750 (130.95 mbb/hand)
[slumbot] Hand 220/1000: won=100 total=3050 (138.64 mbb/hand)
[slumbot] Hand 230/1000: won=100 total=-15350 (-667.39 mbb/hand)
[slumbot] Hand 240/1000: won=-50 total=-15400 (-641.67 mbb/hand)
[slumbot] Hand 250/1000: won=100 total=-15475 (-619.00 mbb/hand)
[slumbot] Hand 260/1000: won=100 total=-15175 (-583.65 mbb/hand)
[slumbot] Hand 270/1000: won=-50 total=-14275 (-528.70 mbb/hand)
[slumbot] Hand 280/1000: won=600 total=-13775 (-491.96 mbb/hand)
[slumbot] Hand 290/1000: won=1500 total=-11475 (-395.69 mbb/hand)
[slumbot] Hand 300/1000: won=100 total=-1425 (-47.50 mbb/hand)
[slumbot] Hand 310/1000: won=-50 total=-1475 (-47.58 mbb/hand)
[slumbot] Hand 320/1000: won=-50 total=-17925 (-560.16 mbb/hand)
[slumbot] Hand 330/1000: won=-50 total=-17775 (-538.64 mbb/hand)
[slumbot] Hand 340/1000: won=-50 total=-17025 (-500.74 mbb/hand)
[slumbot] Hand 350/1000: won=-50 total=-16600 (-474.29 mbb/hand)
[slumbot] Hand 360/1000: won=100 total=-16900 (-469.44 mbb/hand)
[slumbot] Hand 370/1000: won=-50 total=4300 (116.22 mbb/hand)
[slumbot] Hand 380/1000: won=-100 total=9075 (238.82 mbb/hand)
[slumbot] Hand 390/1000: won=-50 total=-7825 (-200.64 mbb/hand)
[slumbot] Hand 400/1000: won=100 total=-6975 (-174.38 mbb/hand)
[slumbot] Hand 410/1000: won=600 total=-10225 (-249.39 mbb/hand)
[slumbot] Hand 420/1000: won=100 total=-9425 (-224.40 mbb/hand)
[slumbot] Hand 430/1000: won=275 total=-7250 (-168.60 mbb/hand)
[slumbot] Hand 440/1000: won=750 total=-7275 (-165.34 mbb/hand)
[slumbot] Hand 450/1000: won=-50 total=-7500 (-166.67 mbb/hand)
[slumbot] Hand 460/1000: won=-50 total=-40300 (-876.09 mbb/hand)
[slumbot] Hand 470/1000: won=-100 total=-40700 (-865.96 mbb/hand)
[slumbot] Hand 480/1000: won=-1650 total=-41900 (-872.92 mbb/hand)
[slumbot] Hand 490/1000: won=100 total=-41300 (-842.86 mbb/hand)
[slumbot] Hand 500/1000: won=-50 total=-41175 (-823.50 mbb/hand)
[slumbot] Hand 510/1000: won=-50 total=-41775 (-819.12 mbb/hand)
[slumbot] Hand 520/1000: won=-50 total=-41875 (-805.29 mbb/hand)
[slumbot] Hand 530/1000: won=-50 total=-54825 (-1034.43 mbb/hand)
[slumbot] Hand 540/1000: won=1687 total=-73438 (-1359.96 mbb/hand)
[slumbot] Hand 550/1000: won=-275 total=-71663 (-1302.96 mbb/hand)
[slumbot] Hand 560/1000: won=100 total=-71663 (-1279.70 mbb/hand)
[slumbot] Hand 570/1000: won=-50 total=-85063 (-1492.33 mbb/hand)
[slumbot] Hand 580/1000: won=-8250 total=-93788 (-1617.03 mbb/hand)
[slumbot] Hand 590/1000: won=-50 total=-100138 (-1697.25 mbb/hand)
[slumbot] Hand 600/1000: won=-50 total=-99388 (-1656.47 mbb/hand)
[slumbot] Hand 610/1000: won=-50 total=-98488 (-1614.56 mbb/hand)
[slumbot] Hand 620/1000: won=2250 total=-95838 (-1545.77 mbb/hand)
[slumbot] Hand 630/1000: won=-50 total=-74338 (-1179.97 mbb/hand)
[slumbot] Hand 640/1000: won=-50 total=-74313 (-1161.14 mbb/hand)
[slumbot] Hand 650/1000: won=100 total=-73038 (-1123.66 mbb/hand)
[slumbot] Hand 660/1000: won=100 total=-72838 (-1103.61 mbb/hand)
[slumbot] Hand 670/1000: won=300 total=-72888 (-1087.88 mbb/hand)
[slumbot] Hand 680/1000: won=-100 total=-72738 (-1069.68 mbb/hand)
[slumbot] Hand 690/1000: won=-50 total=-92638 (-1342.58 mbb/hand)
[slumbot] Hand 700/1000: won=-50 total=-92613 (-1323.04 mbb/hand)
[slumbot] Hand 710/1000: won=-50 total=-92088 (-1297.01 mbb/hand)
[slumbot] Hand 720/1000: won=275 total=-112163 (-1557.82 mbb/hand)
[slumbot] Hand 730/1000: won=-50 total=-112063 (-1535.11 mbb/hand)
[slumbot] Hand 740/1000: won=-50 total=-109863 (-1484.64 mbb/hand)
[slumbot] Hand 750/1000: won=-50 total=-110213 (-1469.51 mbb/hand)
[slumbot] Hand 760/1000: won=200 total=-110763 (-1457.41 mbb/hand)
[slumbot] Hand 770/1000: won=100 total=-110688 (-1437.51 mbb/hand)
[slumbot] Hand 780/1000: won=-100 total=-110438 (-1415.87 mbb/hand)
[slumbot] Hand 790/1000: won=-50 total=-108288 (-1370.73 mbb/hand)
[slumbot] Hand 800/1000: won=-50 total=-108438 (-1355.48 mbb/hand)
[slumbot] Hand 810/1000: won=-50 total=-107188 (-1323.31 mbb/hand)
[slumbot] Hand 820/1000: won=400 total=-106363 (-1297.11 mbb/hand)
[slumbot] Hand 830/1000: won=600 total=-104763 (-1262.20 mbb/hand)
[slumbot] Hand 840/1000: won=-50 total=-124963 (-1487.65 mbb/hand)
[slumbot] Hand 850/1000: won=275 total=-129838 (-1527.51 mbb/hand)
[slumbot] Hand 860/1000: won=-3000 total=-131288 (-1526.60 mbb/hand)
[slumbot] Hand 870/1000: won=100 total=-130788 (-1503.31 mbb/hand)
[slumbot] Hand 880/1000: won=-50 total=-130788 (-1486.23 mbb/hand)
[slumbot] Hand 890/1000: won=-50 total=-130638 (-1467.84 mbb/hand)
[slumbot] Hand 900/1000: won=-50 total=-131013 (-1455.70 mbb/hand)
[slumbot] Hand 910/1000: won=100 total=-149013 (-1637.51 mbb/hand)
[slumbot] Hand 920/1000: won=-50 total=-158788 (-1725.96 mbb/hand)
[slumbot] Hand 930/1000: won=-50 total=-156638 (-1684.28 mbb/hand)
[slumbot] Hand 940/1000: won=-100 total=-156113 (-1660.78 mbb/hand)
[slumbot] Hand 950/1000: won=100 total=-155613 (-1638.03 mbb/hand)
[slumbot] Hand 960/1000: won=-50 total=-155913 (-1624.09 mbb/hand)
[slumbot] Hand 970/1000: won=-50 total=-154313 (-1590.86 mbb/hand)
[slumbot] Hand 980/1000: won=-50 total=-141013 (-1438.91 mbb/hand)
[slumbot] Hand 990/1000: won=200 total=-135113 (-1364.78 mbb/hand)
[slumbot] Hand 1000/1000: won=-50 total=-137238 (-1372.38 mbb/hand)

================================================================
  Slumbot Session Results (LIVE (slumbot.com))
================================================================

  Hands played:    1000
  Total winnings:  -137238 chips
  Average:         -1372.38 mbb/hand
  Average:         -1.3724 bb/hand
  Time:            124.3 seconds (8.05 hands/sec)

  Game: HUNL 50/100 blinds, 20000 stack (200bb)
  Strategy: NL MCCFR, P0=38949168 P1=48998385 info sets
================================================================
