method,buckets,iterations,info_sets,train_time_s,total_winnings_chips,num_hands,play_time_s,bb_per_hand
equity,5,10000,435055,9.16,-24775,100,10.71,-2.4775
equity,5,50000,872985,31.08,2225,100,12.93,0.2225
equity,5,100000,1185335,52.77,-31525,100,12.75,-3.1525
equity,5,500000,2380335,253.20,3825,100,13.14,0.3825
equity,10,10000,780184,10.32,-26225,100,14.34,-2.6225
equity,10,50000,2045238,38.84,-38000,100,13.43,-3.8000
equity,10,100000,2991789,70.49,-51050,100,13.24,-5.1050
equity,10,500000,6300270,263.86,13525,100,13.60,1.3525
equity,20,10000,985538,11.85,3600,100,14.39,0.3600
equity,20,50000,2906370,47.35,14250,100,13.99,1.4250
equity,20,100000,4145855,81.66,-57550,100,14.18,-5.7550
equity,20,500000,8955166,289.07,14850,100,12.80,1.4850
equity,50,10000,1156621,12.01,-600,100,14.26,-0.0600
equity,50,50000,4009966,53.87,-27850,100,14.65,-2.7850
equity,50,100000,6560063,101.29,-94950,100,13.72,-9.4950
equity,50,500000,15297191,355.68,-43625,100,13.13,-4.3625
equity,169,10000,1346746,12.65,-38100,100,13.90,-3.8100
equity,169,50000,5544388,60.89,-6175,100,14.01,-0.6175
equity,169,100000,9511869,117.06,-38975,100,14.50,-3.8975
equity,169,500000,28414531,487.70,-64175,100,13.85,-6.4175
rbm_eps0.05,169,50000,5400084,60.02,-54300,100,15.27,-5.4300
rbm_eps0.05,169,100000,9454494,115.79,-31325,100,13.49,-3.1325
rbm_eps0.05,169,500000,28038465,478.73,-31025,100,13.46,-3.1025
rbm_eps0.10,169,50000,5530623,63.94,19050,100,13.11,1.9050
rbm_eps0.10,169,100000,9576975,117.45,-5400,100,14.67,-0.5400
rbm_eps0.10,169,500000,28194290,485.38,-87975,100,14.48,-8.7975
rbm_eps0.20,169,50000,5568018,65.65,6350,100,14.92,0.6350
rbm_eps0.20,169,100000,9602449,117.25,-5275,100,15.33,-0.5275
rbm_eps0.20,169,500000,28346639,490.20,-6200,100,10.14,-0.6200
rbm_eps0.50,169,50000,5513413,63.48,-38350,100,9.80,-3.8350
rbm_eps0.50,169,100000,9608453,120.53,-11350,100,13.28,-1.1350
rbm_eps0.50,169,500000,28170724,508.50,4225,100,10.46,0.4225
rbm_eps1.00,169,50000,5549676,64.86,-126900,100,10.91,-12.6900
rbm_eps1.00,169,100000,9563628,125.17,9125,100,11.46,0.9125
rbm_eps1.00,169,500000,28086272,515.41,16037,100,10.05,1.6037
